ID,2023-04-05,2023-04-06,2023-04-07,2023-04-08,2023-04-09,2023-04-10,2023-04-11,2023-04-12,2023-04-13,2023-04-14,2023-04-15,2023-04-16,2023-04-17,2023-04-18,2023-04-19,2023-04-20,2023-04-21,2023-04-22,2023-04-23,2023-04-24,2023-04-25
29,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
30,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,3,4,5,4,4,2,2,3,4,5,4,3,2,1,2,3,4,3,3,1,1
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,4,4,4,5,4,4,5,4,4,4,5,4,4,5,4,4,4,5,4,4
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,5,8,9,9,8,6,4,5,7,8,9,7,5,4,4,6,8,8,7,4,3
43,11,12,14,14,15,13,10,11,12,14,15,15,13,11,11,12,15,15,15,14,11
44,8,9,9,10,10,8,7,8,9,9,11,10,8,8,8,9,10,11,11,8,8
45,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,13,12,9,6,4,5,4,8,8,4,2,0,1,0,4,4,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,3,3,3,3,2,2,2,3,3,3,3,2,2,2,3,3,3,2,2,2
51,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,3,2,2,2,2,3
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1
54,1,3,3,4,4,3,2,1,3,3,4,4,3,2,1,3,3,4,4,3,2
55,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,3,4,3,2,1,0,1,2,3,3,1,0,0,1,2,3,2,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,3,5,4,4,0,0,0,2,5,4,4,0,0,0,2,5,4,3,0,0
102,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,25,24,23,22,21,22,22,25,24,23,22,21,22,22,25,24,23,22,21,22,21
111,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,10,11,11,9,8,7,7,10,11,11,9,7,6,7,9,10,10,8,7,6,7
118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,5,6,5,5,5,4,4,5,5,5,5,4,4,3,4,5,5,5,4,3,3
120,4,5,5,4,4,3,3,4,5,4,4,3,3,3,4,4,4,4,3,2,2
121,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1
122,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
123,3,2,3,3,2,2,2,3,2,2,3,2,2,2,3,2,2,2,2,2,2
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0
130,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,4,4,4,3,3
131,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,3,3,3,2,2,2,2,3,3,3,2,2,2,2,3,3,2,2,2,2,2
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,5,5,5,4,4,4,3,5,5,5,4,4,4,3,4,5,5,4,4,4,3
136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,13,12,13,13,12,11,11,12,12,12,12,11,11,11,11,11,12,12,11,10,10
141,25,25,26,25,26,25,23,26,25,26,26,26,25,24,26,26,27,26,27,26,24
142,2,2,3,2,3,2,2,2,3,3,2,3,2,2,2,3,3,3,3,3,3
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,44,57,65,67,57,46,43,44,57,65,67,57,46,43,44,57,66,67,57,46,43
146,11,16,16,15,11,12,11,11,16,16,16,11,12,11,11,17,16,16,11,12,11
147,1,2,2,1,0,0,0,0,1,2,1,0,0,0,0,1,2,1,0,0,0
148,2,3,3,5,3,3,2,2,3,3,5,3,3,2,2,3,3,4,3,3,2
149,4,4,3,3,3,3,3,4,4,3,3,3,3,3,4,4,3,3,3,3,3
150,2,5,6,5,5,2,2,2,5,5,5,5,2,2,2,4,5,5,5,2,2
151,8,10,10,12,10,9,7,7,10,10,12,10,9,7,7,9,10,12,10,9,6
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,17,10,7,0,0,0,0,17,10,7,0,0,0,0,16,10,6,0,0,0,0
157,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0
158,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
159,22,15,19,12,11,11,3,21,15,18,12,11,11,3,21,15,18,11,11,11,2
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,11,13,23,11,9,10,7,11,13,23,11,9,10,7,11,13,23,11,9,10,7
162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,36,42,44,45,38,33,31,35,41,43,44,37,32,30,35,40,42,43,36,31,29
165,0,0,2,2,1,0,0,0,0,2,2,1,0,0,0,0,2,2,1,0,0
166,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,6
167,4,6,8,8,2,0,1,3,5,6,7,0,0,0,1,4,5,5,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,1,1,3,3,2,1,1,1,1,3,3,2,1,1,1,1,3,3,2,1,1
170,3,3,3,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,2,2
171,2,3,3,2,2,2,2,1,3,3,2,2,2,1,1,2,3,2,2,2,1
172,11,13,14,13,13,13,10,11,13,14,13,13,13,11,11,13,14,13,13,13,11
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
199,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
200,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,3,3,3,3,2,2,2,3,4,4,3,3,2,2,3,4,4,3,3,2,2
204,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,13,13,9,7,4,4,9,12,12,9,6,3,3,9,11,12,8,6,3,3,8
208,6,11,11,6,2,0,1,6,10,10,5,1,0,0,5,9,10,4,0,0,0
209,1,4,5,4,1,0,0,1,3,4,3,1,0,0,0,3,4,3,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1
212,1,2,3,2,2,0,0,1,2,3,2,2,0,0,0,2,2,2,1,0,0
213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2,4,5,4,3,1,0,1,4,4,4,2,0,0,1,3,4,3,2,0,0
221,3,5,8,9,6,2,0,1,4,6,8,4,0,0,0,2,5,7,3,0,0
222,6,7,6,2,0,3,2,5,6,6,2,0,3,2,5,6,5,1,0,2,1
223,7,8,8,7,6,5,5,6,7,7,6,6,5,5,6,7,7,6,5,5,4
224,37,39,40,39,37,35,35,36,38,38,38,35,34,34,34,37,37,37,34,32,33
225,10,10,10,10,9,9,9,9,9,9,9,9,8,8,9,9,9,9,8,8,8
226,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
227,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
228,8,8,8,7,8,7,7,8,8,8,8,8,7,8,8,8,8,8,8,8,8
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2,2,3,2,2,1,1,1,2,3,2,2,1,1,1,2,3,2,2,1,1
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
242,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
243,2,2,4,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
247,3,3,3,3,2,2,2,3,3,3,3,2,2,1,2,2,2,2,2,1,1
248,73,73,62,54,50,51,59,69,70,59,51,47,48,56,66,66,56,48,44,45,53
249,6,7,8,6,4,2,4,5,7,7,6,3,2,4,5,6,7,5,3,2,3
250,5,6,4,3,1,3,4,5,6,3,3,1,2,3,4,5,3,2,1,2,3
251,59,64,64,61,55,48,50,59,64,64,61,55,48,50,59,64,64,60,55,48,50
252,4,3,2,0,2,2,2,3,2,2,0,1,2,1,2,1,1,0,1,1,1
253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
254,24,22,19,18,11,20,21,23,21,17,16,9,18,19,21,19,15,15,8,17,17
255,21,26,28,25,20,14,17,21,26,28,25,20,14,17,20,26,28,25,19,13,16
256,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,11,13,15,13,9,9,10,11,12,14,13,8,8,10,10,11,14,12,8,7,9
258,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,2,5,7,2,3,0,0,1,4,6,1,2,0,0,0,3,6,1,1,0,0
272,59,56,58,58,49,46,42,58,55,57,57,48,46,41,57,55,56,57,47,45,41
273,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
275,8,10,9,6,5,3,4,7,9,9,6,5,2,3,7,9,9,5,5,2,3
276,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,16,27,29,20,10,0,0,11,22,25,15,5,0,0,6,17,20,10,0,0,0
279,2,2,2,1,1,0,1,2,2,2,1,1,0,1,1,2,2,1,1,0,0
280,2,4,4,3,1,0,0,1,2,3,2,0,0,0,0,1,2,1,0,0,0
281,15,19,19,16,12,7,8,13,17,17,14,10,5,6,11,15,15,12,8,3,4
282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,6,9,8,6,0,0,1,5,8,7,6,0,0,0,4,8,6,5,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,13,18,19,16,13,9,8,12,17,19,16,13,8,8,12,16,18,15,12,8,7
286,18,25,27,21,13,6,7,15,23,25,19,10,3,4,13,20,22,16,8,1,2
287,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,1,2,1,0,0,0,0,1,2,1,0,0,0,0,1,2,1,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,7,7,8,8,7,7,8,8,8,8,8,8,8,8,8,8,9,9,8,8,9
295,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
296,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,2,4,4,1,0,0,0,1,3,3,0,0,0,0,0,2,2,0,0,0,0
299,3,3,3,2,1,1,1,2,3,3,2,1,1,1,2,2,3,1,1,1,1
300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302,0,1,4,7,7,5,1,0,1,4,7,7,5,1,0,0,4,7,7,4,0
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
